year,S12000033,S12000034,S12000041,S12000035,S12000005,S12000006,S12000042,S12000008,S12000045,S12000010,S12000011,S12000036,S12000014,S12000015,S12000046,S12000017,S12000018,S12000023,S12000019,S12000020,S12000021,S12000044,S12000024,S12000038,S12000026,S12000028,S12000029,S12000030,S12000039,S12000040,S00000000,S99999999
2013,15,9.6,12.2,7.5,14.7,9.5,15.4,9.9,10.7,16.2,8.2,12.8,11,12.7,12.6,9.6,7.3,5.3,18.2,9,10.2,10.2,10.5,8.1,9.7,11.6,11.4,9.9,11,7.6,0,11.5
2014,14.4,9.3,11.6,7.4,12.9,10.6,16.2,11.1,9.1,14.1,8.4,12.4,11.7,11.5,12.8,10.2,7.2,4.8,16.4,7.5,10.9,11.1,10.5,9.1,9,11.4,10.6,10.2,9.9,9,0,11.4
2015,13.7,9.3,13,8.2,12.7,10,16.8,11.6,9.7,14.9,10.1,12.5,11.3,12.5,12.9,10.2,8,4.4,15,8.4,11.1,11.1,11.1,10.1,8,12.4,10.6,10,13.1,11.8,0,11.7
2016,12.8,9.2,12.1,6.9,15.2,11.1,16.4,12.1,10,13.3,8.2,12,12.4,12.7,12.5,10.3,9.6,5.2,16.2,8.6,10.8,11.6,11.4,10.8,10.5,9.4,11.8,10.8,11.8,11.8,0,11.7
2017,13.2,9.3,12.8,5.7,16.1,10.9,17.3,11,11.6,14.6,8.8,12.2,11.8,13,13,9.7,6.9,5.8,14.9,7.3,12,12.5,10.9,7,10.9,11.5,11.5,11.4,11.7,12.1,0,11.8
